user_id,gender,age,city,registration_date,acquisition_channel,vip_level
1,女,37,杭州,2026-03-13,搜索引擎,L0
2,男,25,杭州,2026-04-10,广告投放,L0
3,男,26,杭州,2026-02-13,直接访问,L1
4,男,26,重庆,2026-06-02,直接访问,L1
5,男,34,武汉,2026-01-05,广告投放,L2
6,女,24,武汉,2026-02-13,邮件营销,L1
7,女,25,深圳,2026-06-06,广告投放,L1
8,男,29,广州,2026-01-03,渠道合作,L1
9,女,34,西安,2026-05-05,广告投放,L0
10,女,18,上海,2026-01-29,搜索引擎,L4
11,女,39,重庆,2026-06-10,渠道合作,L1
12,女,18,南京,2026-04-03,搜索引擎,L5
13,男,23,重庆,2026-02-20,直接访问,L3
14,男,26,广州,2026-02-08,直接访问,L2
15,女,29,重庆,2026-01-12,广告投放,L3
16,男,25,北京,2026-04-13,渠道合作,L1
17,女,36,广州,2026-03-17,邮件营销,L5
18,女,18,西安,2026-02-13,渠道合作,L1
19,女,30,广州,2026-02-07,直接访问,L1
20,女,22,杭州,2026-03-20,邮件营销,L1
21,男,29,成都,2026-05-26,广告投放,L4
22,男,27,杭州,2026-05-10,渠道合作,L1
23,男,32,西安,2026-03-08,广告投放,L1
24,男,41,重庆,2026-02-15,广告投放,L1
25,男,18,杭州,2026-06-21,直接访问,L0
26,男,35,成都,2026-01-03,直接访问,L1
27,女,18,北京,2026-04-23,直接访问,L0
28,男,31,成都,2026-06-22,邮件营销,L1
29,男,31,成都,2026-02-15,广告投放,L0
30,男,20,成都,2026-02-21,邮件营销,L2
31,女,27,成都,2026-02-05,邮件营销,L3
32,男,35,广州,2026-01-11,社交媒体,L1
33,女,36,南京,2026-05-03,直接访问,L2
34,女,18,西安,2025-12-28,社交媒体,L0
35,女,45,上海,2026-01-31,直接访问,L0
36,女,57,武汉,2026-02-04,直接访问,L0
37,女,38,北京,2026-01-28,广告投放,L4
38,女,44,重庆,2026-04-01,社交媒体,L5
39,男,50,重庆,2026-01-29,广告投放,L2
40,男,36,深圳,2026-05-22,社交媒体,L2
41,女,54,成都,2026-05-22,渠道合作,L2
42,男,33,南京,2026-03-07,社交媒体,L1
43,男,29,杭州,2026-06-03,广告投放,L2
44,女,59,北京,2026-01-28,直接访问,L5
45,女,29,重庆,2026-01-17,邮件营销,L4
46,女,39,广州,2026-05-09,广告投放,L3
47,女,22,重庆,2026-01-15,搜索引擎,L4
48,女,26,南京,2026-04-27,搜索引擎,L2
49,男,23,西安,2026-03-30,直接访问,L3
50,女,21,武汉,2026-02-07,邮件营销,L0
51,女,37,深圳,2026-05-29,直接访问,L0
52,男,65,广州,2026-01-31,广告投放,L2
53,女,31,成都,2026-05-23,搜索引擎,L3
54,男,26,成都,2026-05-06,渠道合作,L1
55,女,24,杭州,2026-03-15,广告投放,L3
56,男,38,广州,2026-02-28,广告投放,L0
57,男,42,广州,2026-03-02,广告投放,L2
58,男,25,杭州,2026-03-26,渠道合作,L3
59,女,18,成都,2026-02-07,直接访问,L2
60,女,28,武汉,2026-02-27,邮件营销,L2
61,女,25,北京,2026-04-09,渠道合作,L3
62,男,29,杭州,2026-01-31,广告投放,L0
63,男,47,上海,2026-03-15,广告投放,L1
64,男,45,北京,2026-01-28,邮件营销,L2
65,男,29,深圳,2026-06-08,广告投放,L1
66,男,32,广州,2026-02-20,社交媒体,L4
67,女,20,上海,2026-04-18,邮件营销,L0
68,男,37,西安,2026-05-20,邮件营销,L3
69,男,31,西安,2026-03-26,邮件营销,L1
70,女,18,深圳,2026-04-10,直接访问,L3
71,男,39,北京,2026-01-11,社交媒体,L1
72,男,38,杭州,2026-03-20,广告投放,L1
73,女,25,北京,2026-06-11,渠道合作,L1
74,男,18,广州,2026-03-30,直接访问,L0
75,男,35,深圳,2026-01-28,社交媒体,L1
76,男,30,广州,2026-01-31,广告投放,L1
77,男,50,重庆,2026-02-21,搜索引擎,L3
78,男,36,武汉,2026-01-30,渠道合作,L2
79,男,18,南京,2026-01-05,邮件营销,L1
80,女,32,重庆,2026-01-30,邮件营销,L3
81,女,18,武汉,2026-04-15,社交媒体,L0
82,男,28,广州,2026-06-05,邮件营销,L0
83,男,44,重庆,2026-02-18,广告投放,L0
84,女,39,杭州,2026-04-29,渠道合作,L3
85,女,34,杭州,2026-01-02,广告投放,L2
86,男,32,重庆,2026-06-04,直接访问,L2
87,女,23,武汉,2026-01-16,直接访问,L4
88,女,47,南京,2026-04-11,渠道合作,L1
89,男,36,南京,2026-01-19,搜索引擎,L0
90,男,21,重庆,2026-05-27,广告投放,L5
91,男,49,广州,2026-01-30,邮件营销,L4
92,女,18,重庆,2026-03-01,搜索引擎,L0
93,女,43,北京,2026-05-25,社交媒体,L2
94,男,27,北京,2026-04-22,邮件营销,L0
95,男,30,成都,2026-03-11,广告投放,L3
96,女,31,广州,2026-03-21,邮件营销,L2
97,女,27,重庆,2026-05-02,渠道合作,L0
98,女,38,北京,2026-01-02,直接访问,L3
99,男,35,上海,2026-05-21,渠道合作,L3
100,男,24,北京,2026-02-21,渠道合作,L5
101,女,18,杭州,2026-04-28,邮件营销,L2
102,男,25,成都,2026-04-10,广告投放,L5
103,女,20,上海,2026-05-05,广告投放,L1
104,男,18,武汉,2026-04-06,搜索引擎,L3
105,女,44,北京,2026-02-11,广告投放,L0
106,女,30,杭州,2026-04-16,搜索引擎,L1
107,男,35,南京,2026-05-12,广告投放,L1
108,男,22,上海,2026-03-20,邮件营销,L0
109,女,19,成都,2026-01-28,邮件营销,L1
110,男,18,西安,2026-02-11,渠道合作,L1
111,男,25,重庆,2026-04-07,渠道合作,L0
112,男,29,北京,2026-03-22,搜索引擎,L3
113,女,26,南京,2026-06-16,渠道合作,L0
114,男,26,南京,2026-05-27,搜索引擎,L2
115,男,36,武汉,2026-06-10,渠道合作,L2
116,男,24,广州,2026-06-06,社交媒体,L0
117,男,25,重庆,2026-02-25,直接访问,L1
118,女,21,广州,2026-05-30,直接访问,L1
119,女,36,南京,2026-03-05,直接访问,L2
120,男,48,成都,2026-05-13,广告投放,L2
121,女,18,成都,2026-04-26,邮件营销,L0
122,男,37,南京,2026-03-04,直接访问,L0
123,男,35,深圳,2026-05-24,渠道合作,L5
124,男,31,广州,2026-03-22,渠道合作,L4
125,女,44,杭州,2026-04-06,渠道合作,L5
126,男,31,北京,2026-04-17,广告投放,L0
127,女,29,深圳,2026-05-08,邮件营销,L1
128,男,33,南京,2026-01-14,搜索引擎,L1
129,女,42,北京,2026-02-06,邮件营销,L0
130,女,26,南京,2026-06-15,渠道合作,L1
131,男,36,上海,2026-03-22,渠道合作,L4
132,男,38,广州,2026-02-07,社交媒体,L4
133,女,30,重庆,2026-04-21,邮件营销,L0
134,女,33,杭州,2026-05-25,邮件营销,L0
135,女,40,重庆,2026-04-07,搜索引擎,L3
136,女,28,广州,2026-05-16,邮件营销,L1
137,男,18,武汉,2026-06-01,搜索引擎,L1
138,男,41,武汉,2026-03-12,社交媒体,L1
139,女,23,北京,2026-04-18,广告投放,L2
140,女,27,成都,2026-01-20,直接访问,L1
141,女,32,西安,2026-01-20,邮件营销,L3
142,男,27,深圳,2026-03-19,邮件营销,L0
143,女,27,上海,2026-06-09,社交媒体,L2
144,女,26,杭州,2026-01-11,广告投放,L0
145,男,27,西安,2026-04-11,渠道合作,L2
146,男,18,上海,2026-02-03,直接访问,L0
147,女,33,深圳,2026-03-12,邮件营销,L4
148,女,39,北京,2026-04-13,广告投放,L1
149,男,33,成都,2026-02-07,社交媒体,L1
150,男,33,西安,2026-05-09,渠道合作,L0
151,男,21,杭州,2026-04-28,直接访问,L2
152,男,24,重庆,2026-04-28,社交媒体,L1
153,女,31,上海,2026-05-30,社交媒体,L1
154,男,40,广州,2026-01-04,渠道合作,L0
155,男,24,西安,2026-03-28,广告投放,L0
156,男,41,深圳,2026-05-06,直接访问,L0
157,女,18,武汉,2026-02-26,直接访问,L1
158,男,33,广州,2025-12-27,渠道合作,L0
159,女,42,广州,2026-05-26,搜索引擎,L0
160,男,28,上海,2026-03-01,渠道合作,L1
161,男,28,南京,2026-03-02,邮件营销,L0
162,男,34,西安,2026-02-13,社交媒体,L2
163,女,29,重庆,2026-02-20,社交媒体,L0
164,男,42,杭州,2026-04-13,社交媒体,L4
165,男,29,南京,2026-03-24,渠道合作,L3
166,男,28,武汉,2026-01-10,搜索引擎,L0
167,女,35,上海,2026-06-17,搜索引擎,L4
168,男,40,上海,2026-01-27,社交媒体,L2
169,女,43,重庆,2026-02-04,搜索引擎,L3
170,女,25,成都,2026-03-17,广告投放,L0
171,男,33,北京,2026-01-17,搜索引擎,L0
172,女,33,上海,2026-06-10,邮件营销,L1
173,女,32,上海,2026-06-02,邮件营销,L0
174,女,35,西安,2026-01-29,广告投放,L1
175,女,42,武汉,2026-05-21,邮件营销,L0
176,女,36,成都,2026-05-28,社交媒体,L2
177,女,59,北京,2026-06-12,搜索引擎,L1
178,男,29,上海,2026-02-22,广告投放,L5
179,男,29,深圳,2026-05-04,直接访问,L2
180,男,44,南京,2026-05-01,渠道合作,L0
181,男,26,上海,2026-04-29,直接访问,L3
182,男,33,北京,2026-04-12,直接访问,L1
183,女,24,上海,2026-01-04,邮件营销,L0
184,男,31,上海,2025-12-27,广告投放,L1
185,女,34,南京,2026-05-11,社交媒体,L2
186,女,51,杭州,2026-01-26,渠道合作,L2
187,女,45,重庆,2026-05-30,邮件营销,L2
188,女,42,武汉,2026-05-23,直接访问,L0
189,女,36,上海,2026-03-30,社交媒体,L4
190,女,29,深圳,2026-04-03,社交媒体,L1
191,男,18,上海,2026-03-13,社交媒体,L2
192,男,37,武汉,2026-01-07,广告投放,L2
193,女,25,上海,2026-02-24,直接访问,L4
194,女,42,上海,2026-01-05,社交媒体,L3
195,男,27,广州,2026-01-17,社交媒体,L5
