user_id,product_id,behavior_type,timestamp,device
263,191,浏览,2026-03-27 02:46:51,小程序
263,82,浏览,2026-03-27 02:46:51,Android
263,62,浏览,2026-03-27 02:46:51,Android
263,68,购买,2026-03-27 02:46:51,小程序
339,78,购买,2026-03-27 06:29:51,PC
339,6,购买,2026-03-27 06:29:51,Android
354,150,加购,2026-03-27 07:14:51,Android
354,165,加购,2026-03-27 07:14:51,PC
354,250,浏览,2026-03-27 07:14:51,PC
199,94,购买,2026-03-27 07:24:51,iOS
199,293,浏览,2026-03-27 07:24:51,Android
199,50,浏览,2026-03-27 07:24:51,Android
170,65,购买,2026-03-27 07:29:51,Android
170,45,购买,2026-03-27 07:29:51,PC
170,183,浏览,2026-03-27 07:29:51,小程序
170,268,浏览,2026-03-27 07:29:51,PC
282,120,浏览,2026-03-27 08:38:51,iOS
389,171,浏览,2026-03-27 09:22:51,PC
389,23,加购,2026-03-27 09:22:51,Android
389,89,购买,2026-03-27 09:22:51,iOS
385,51,浏览,2026-03-27 09:24:51,Android
385,112,收藏,2026-03-27 09:24:51,iOS
385,299,收藏,2026-03-27 09:24:51,Android
385,261,浏览,2026-03-27 09:24:51,Android
385,82,浏览,2026-03-27 09:24:51,Android
80,111,浏览,2026-03-27 09:51:51,Android
80,92,浏览,2026-03-27 09:51:51,Android
251,238,浏览,2026-03-27 09:53:51,iOS
251,47,浏览,2026-03-27 09:53:51,PC
251,67,浏览,2026-03-27 09:53:51,PC
251,138,浏览,2026-03-27 09:53:51,iOS
164,297,浏览,2026-03-27 11:25:51,小程序
164,127,收藏,2026-03-27 11:25:51,PC
295,90,购买,2026-03-27 12:07:51,iOS
295,194,购买,2026-03-27 12:07:51,PC
31,262,浏览,2026-03-27 14:14:51,iOS
31,88,浏览,2026-03-27 14:14:51,PC
31,175,购买,2026-03-27 14:14:51,iOS
31,74,收藏,2026-03-27 14:14:51,iOS
243,144,加购,2026-03-27 18:29:51,iOS
243,185,购买,2026-03-27 18:29:51,Android
243,179,购买,2026-03-27 18:29:51,小程序
243,219,浏览,2026-03-27 18:29:51,Android
243,247,浏览,2026-03-27 18:29:51,iOS
259,52,浏览,2026-03-28 04:58:51,iOS
259,295,购买,2026-03-28 04:58:51,iOS
461,80,浏览,2026-03-28 05:51:51,小程序
492,187,收藏,2026-03-28 06:03:51,iOS
492,244,浏览,2026-03-28 06:03:51,PC
492,50,浏览,2026-03-28 06:03:51,Android
492,150,浏览,2026-03-28 06:03:51,小程序
492,52,浏览,2026-03-28 06:03:51,PC
389,124,浏览,2026-03-28 09:15:51,Android
389,157,浏览,2026-03-28 09:15:51,PC
389,238,收藏,2026-03-28 09:15:51,PC
389,189,收藏,2026-03-28 09:15:51,Android
66,91,浏览,2026-03-28 09:26:51,PC
66,59,购买,2026-03-28 09:26:51,PC
423,148,浏览,2026-03-28 09:31:51,Android
423,10,浏览,2026-03-28 09:31:51,iOS
423,271,收藏,2026-03-28 09:31:51,Android
423,295,浏览,2026-03-28 09:31:51,iOS
391,273,加购,2026-03-28 11:44:51,小程序
391,103,加购,2026-03-28 11:44:51,小程序
391,123,收藏,2026-03-28 11:44:51,PC
450,138,浏览,2026-03-28 15:45:51,PC
401,99,购买,2026-03-28 15:48:51,iOS
401,259,加购,2026-03-28 15:48:51,Android
318,244,浏览,2026-03-28 17:19:51,PC
345,170,浏览,2026-03-28 17:20:51,iOS
345,292,浏览,2026-03-28 17:20:51,iOS
345,53,浏览,2026-03-28 17:20:51,iOS
345,201,加购,2026-03-28 17:20:51,PC
481,58,浏览,2026-03-28 18:01:51,iOS
481,117,浏览,2026-03-28 18:01:51,iOS
481,258,浏览,2026-03-28 18:01:51,Android
481,192,加购,2026-03-28 18:01:51,iOS
116,120,浏览,2026-03-29 03:22:51,Android
409,274,浏览,2026-03-29 03:41:51,PC
409,49,加购,2026-03-29 03:41:51,小程序
409,205,加购,2026-03-29 03:41:51,PC
409,220,浏览,2026-03-29 03:41:51,iOS
409,196,收藏,2026-03-29 03:41:51,小程序
186,78,浏览,2026-03-29 06:15:51,Android
186,18,购买,2026-03-29 06:15:51,小程序
186,212,浏览,2026-03-29 06:15:51,Android
43,135,加购,2026-03-29 07:15:51,iOS
43,26,购买,2026-03-29 07:15:51,Android
43,80,浏览,2026-03-29 07:15:51,PC
43,220,收藏,2026-03-29 07:15:51,iOS
43,134,浏览,2026-03-29 07:15:51,iOS
208,14,浏览,2026-03-29 07:29:51,Android
208,193,浏览,2026-03-29 07:29:51,Android
23,167,购买,2026-03-29 08:47:51,iOS
23,266,浏览,2026-03-29 08:47:51,小程序
23,94,浏览,2026-03-29 08:47:51,iOS
23,101,收藏,2026-03-29 08:47:51,PC
23,128,购买,2026-03-29 08:47:51,PC
91,196,浏览,2026-03-29 08:57:51,Android
237,267,浏览,2026-03-29 09:02:51,iOS
444,279,浏览,2026-03-29 09:39:51,Android
444,219,收藏,2026-03-29 09:39:51,Android
444,185,浏览,2026-03-29 09:39:51,iOS
123,40,加购,2026-03-29 10:43:51,PC
123,164,收藏,2026-03-29 10:43:51,iOS
123,210,浏览,2026-03-29 10:43:51,Android
357,243,收藏,2026-03-29 13:09:51,iOS
357,134,浏览,2026-03-29 13:09:51,Android
31,150,浏览,2026-03-29 14:41:51,PC
31,195,加购,2026-03-29 14:41:51,iOS
215,94,浏览,2026-03-29 14:43:51,PC
215,225,收藏,2026-03-29 14:43:51,iOS
215,211,浏览,2026-03-29 14:43:51,PC
215,31,浏览,2026-03-29 14:43:51,PC
215,62,购买,2026-03-29 14:43:51,iOS
73,198,浏览,2026-03-29 16:15:51,Android
451,163,收藏,2026-03-29 17:20:51,PC
451,56,浏览,2026-03-29 17:20:51,小程序
451,123,浏览,2026-03-29 17:20:51,PC
451,242,收藏,2026-03-29 17:20:51,PC
189,60,浏览,2026-03-29 17:45:51,小程序
236,65,加购,2026-03-29 18:23:51,iOS
236,260,浏览,2026-03-29 18:23:51,Android
236,99,加购,2026-03-29 18:23:51,小程序
236,185,浏览,2026-03-29 18:23:51,Android
395,148,浏览,2026-03-29 18:25:51,iOS
395,97,浏览,2026-03-29 18:25:51,Android
395,161,浏览,2026-03-29 18:25:51,Android
395,206,浏览,2026-03-29 18:25:51,Android
395,135,浏览,2026-03-29 18:25:51,Android
490,93,浏览,2026-03-30 02:52:51,小程序
123,157,浏览,2026-03-30 06:55:51,PC
123,110,购买,2026-03-30 06:55:51,PC
123,40,购买,2026-03-30 06:55:51,Android
123,202,浏览,2026-03-30 06:55:51,iOS
123,132,收藏,2026-03-30 06:55:51,PC
124,193,加购,2026-03-30 07:27:51,PC
124,80,浏览,2026-03-30 07:27:51,iOS
124,226,购买,2026-03-30 07:27:51,Android
409,71,浏览,2026-03-30 08:22:51,PC
409,100,购买,2026-03-30 08:22:51,iOS
409,67,浏览,2026-03-30 08:22:51,iOS
409,196,浏览,2026-03-30 08:22:51,iOS
409,300,浏览,2026-03-30 08:22:51,iOS
61,83,浏览,2026-03-30 09:48:51,iOS
61,176,加购,2026-03-30 09:48:51,Android
61,197,加购,2026-03-30 09:48:51,Android
61,162,浏览,2026-03-30 09:48:51,iOS
226,196,加购,2026-03-30 10:05:51,iOS
226,34,收藏,2026-03-30 10:05:51,小程序
413,112,浏览,2026-03-30 13:23:51,PC
413,58,浏览,2026-03-30 13:23:51,小程序
413,18,浏览,2026-03-30 13:23:51,Android
413,299,浏览,2026-03-30 13:23:51,Android
413,84,浏览,2026-03-30 13:23:51,Android
48,190,购买,2026-03-30 16:04:51,PC
48,294,浏览,2026-03-30 16:04:51,iOS
48,165,购买,2026-03-30 16:04:51,iOS
48,61,购买,2026-03-30 16:04:51,iOS
48,55,购买,2026-03-30 16:04:51,PC
197,241,浏览,2026-03-30 16:44:51,Android
197,296,浏览,2026-03-30 16:44:51,iOS
197,224,浏览,2026-03-30 16:44:51,Android
125,162,浏览,2026-03-30 16:48:51,Android
125,252,购买,2026-03-30 16:48:51,PC
125,63,浏览,2026-03-30 16:48:51,iOS
125,166,浏览,2026-03-30 16:48:51,Android
156,255,浏览,2026-03-30 19:11:51,PC
156,113,浏览,2026-03-30 19:11:51,Android
156,69,浏览,2026-03-30 19:11:51,小程序
156,137,购买,2026-03-30 19:11:51,iOS
368,142,浏览,2026-03-30 19:26:51,Android
368,135,加购,2026-03-30 19:26:51,Android
368,117,加购,2026-03-30 19:26:51,iOS
368,29,浏览,2026-03-30 19:26:51,小程序
477,88,浏览,2026-03-30 19:29:51,Android
45,50,加购,2026-03-31 04:09:51,PC
99,278,浏览,2026-03-31 07:49:51,Android
99,105,加购,2026-03-31 07:49:51,iOS
99,178,购买,2026-03-31 07:49:51,Android
99,173,浏览,2026-03-31 07:49:51,iOS
99,12,浏览,2026-03-31 07:49:51,iOS
438,146,浏览,2026-03-31 09:10:51,PC
438,184,浏览,2026-03-31 09:10:51,Android
438,268,收藏,2026-03-31 09:10:51,小程序
282,30,浏览,2026-03-31 11:46:51,iOS
282,52,浏览,2026-03-31 11:46:51,小程序
282,55,收藏,2026-03-31 11:46:51,iOS
282,82,浏览,2026-03-31 11:46:51,Android
282,128,收藏,2026-03-31 11:46:51,小程序
90,291,加购,2026-03-31 12:01:51,小程序
90,221,浏览,2026-03-31 12:01:51,Android
90,167,浏览,2026-03-31 12:01:51,iOS
90,120,购买,2026-03-31 12:01:51,PC
90,285,浏览,2026-03-31 12:01:51,PC
285,22,收藏,2026-03-31 14:01:51,PC
285,60,浏览,2026-03-31 14:01:51,iOS
285,292,浏览,2026-03-31 14:01:51,PC
285,200,浏览,2026-03-31 14:01:51,PC
61,14,浏览,2026-03-31 16:16:51,Android
61,145,购买,2026-03-31 16:16:51,Android
61,180,加购,2026-03-31 16:16:51,PC
310,212,收藏,2026-03-31 16:19:51,iOS
